canonicalsmiles,mw,xlogp,polararea,rotbonds,hbonddonor,hbondacc,charge,anti_inflammatory
CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,412.7,8.6,20.2,5,1,1,0,0
CCC1=CC2CC(C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC,778.9,3.6,134.0,10,2,11,0,0
CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,586.7,3.0,113.0,5,1,8,0,0
CC1=CC2=C(C(=C(C(=C2C(C)C)O)O)C=O)C(=C1C3=C(C4=C(C=C3C)C(=C(C(=C4C=O)O)O)C(C)C)O)O,518.6,6.9,156.0,5,6,8,0,0
CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,588.6,0.6,161.0,5,3,13,0,0
CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,780.9,1.3,203.0,7,6,14,0,0
CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,811.0,3.7,154.0,10,3,12,0,0
CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,825.0,2.8,171.0,10,3,12,0,0
CC1CCC(C(C1)O)C(C)C,156.26,3.0,20.2,1,1,1,0,0
C(C(CO)O)O,92.09,-1.8,60.7,2,3,3,0,0
CCC(=O)O,74.08,0.3,37.3,1,1,2,0,0
C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,270.24,1.7,87.0,1,3,5,0,0
CC1=CC(=C(C=C1)C(C)C)O,150.22,3.3,20.2,1,1,1,0,0
C1=NC2=C(N1)C(=O)NC(=N2)N,151.13,-1.1,96.2,0,3,3,0,0
C(=O)O,46.025,-0.2,37.3,0,1,2,0,0
C=CCCCCCCCCC(=O)O,184.27,3.9,37.3,9,1,2,0,0
C1=CC=C(C=C1)CC(C(=O)O)N,165.19,-1.5,63.3,3,2,3,0,0
C(CC(C(=O)O)N)CN=C(N)N,174.2,-4.2,128.0,5,4,4,0,0
C1=CC=C2C(=C1)C(=CC(=O)C2=O)O,174.15,0.9,54.4,0,1,3,0,0
CC(C(=O)O)N,89.09,-3.0,63.3,1,2,3,0,0
CCCCCCCCCCCCCCCC(=O)O,256.42,6.4,37.3,14,1,2,0,0
CCCCCCO,102.17,2.0,20.2,4,1,1,0,0
CC1CCC(C(C1)O)C(C)C,156.26,3.0,20.2,1,1,1,0,0
CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,305.4,3.6,58.6,9,2,3,0,0
CCCCCC=O,100.16,1.8,17.1,4,0,1,0,0
CC1(C2CCC1(C(=O)C2)C)C,152.23,2.2,17.1,0,0,1,0,0
CCOC=O,74.08,0.5,26.3,2,0,2,0,0
C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)O)N)I)I)O,650.97,1.7,92.8,5,3,5,0,0
C1=CC=C(C=C1)C=CC=O,132.16,1.9,17.1,2,0,1,0,0
CCCCCCCCO,130.229,3.0,20.2,6,1,1,0,0
CCCCCC(=O)O,116.16,1.9,37.3,4,1,2,0,0
CC(=C)C=C,68.12,2.5,0.0,1,0,0,0,0
CC(C)CC=O,86.13,1.0,17.1,2,0,1,0,0
C1=CC=C2C(=C1)C=CN2,117.15,2.1,15.8,0,1,0,0,0
CC=O,44.05,-0.3,17.1,0,0,1,0,0
CCCC(=O)O,88.11,0.8,37.3,2,1,2,0,0
CCCCCCCCCCCCCC(=O)O,228.37,5.3,37.3,12,1,2,0,0
CC(=O)OCC1=CC=CC=C1,150.17,2.0,26.3,3,0,2,0,0
CCCCO,74.12,0.9,20.2,2,1,1,0,0
CC=CC1=CC=C(C=C1)OC,148.2,3.3,9.2,2,0,1,0,0
CC(=CCCC(=CCOC(=O)C)C)C,196.29,3.5,26.3,6,0,2,0,0
C1=CC=C(C=C1)CO,108.14,1.1,20.2,1,1,1,0,0
COC1=CC=CC=C1O,124.14,1.3,29.5,1,1,2,0,0
CCCCCCC(=O)O,130.18,2.5,37.3,5,1,2,0,0
CCCCOC(=O)C,116.16,1.8,26.3,4,0,2,0,0
CC(C)CC(=O)O,102.13,1.2,37.3,2,1,2,0,0
CSSC,94.2,1.8,50.6,1,0,2,0,0
CCCCCCC=O,114.19,2.3,17.1,5,0,1,0,0
C1=CC(=CC=C1N)N,108.14,-0.3,52.0,0,2,2,0,0
CCCCCCCCCCO,158.28,4.6,20.2,8,1,1,0,0
CC(C)CO,74.12,0.8,20.2,1,1,1,0,0
CN1C=NC2=C1C(=O)NC(=O)N2C,180.16,-0.8,67.2,0,1,3,0,0
CCOC(=O)C,88.11,0.7,26.3,2,0,2,0,0
CCCC=O,72.11,0.9,17.1,2,0,1,0,0
CC(=O)C(=O)C,86.09,-1.3,34.1,1,0,2,0,0
CC1=C(C=C(C=C1)C(C)C)O,150.22,3.1,20.2,1,1,1,0,0
COC1=CC=C(C=C1)CC=C,148.2,3.4,9.2,3,0,1,0,0
CC(C)C(=O)O,88.11,0.8,37.3,1,1,2,0,0
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C,536.9,13.5,0.0,10,0,0,0,0
CC(=CCCC(=CCO)C)C,154.25,2.9,20.2,4,1,1,0,0
CCCCCC(=O)C,114.19,2.0,17.1,4,0,1,0,0
C1(C(=O)NC(=O)N1)NC(=O)N,158.12,-2.2,113.0,1,4,3,0,0
C1=CC=C(C=C1)C(=O)OOC(=O)C2=CC=CC=C2,242.23,3.5,52.6,5,0,4,0,0
CC(=O)OCC(COC(=O)C)OC(=O)C,218.2,0.2,78.9,8,0,6,0,0
CCCCCCCCC=O,142.24,3.3,17.1,7,0,1,0,0
CC=CC1=CC(=C(C=C1)O)OC,164.2,2.6,29.5,2,1,2,0,0
CC(CCO)O,90.12,-0.4,40.5,2,2,2,0,0
Cl,36.46,0.8,0.0,0,1,0,0,0
[N+](=O)(O)[O-],63.013,0.2,66.0,0,1,3,0,0
CCCCCCCCCCCCCCCCCC(=O)O,284.5,7.4,37.3,16,1,2,0,0
N,17.031,-0.7,1.0,0,1,1,0,0
